Viabilidad,Aportaciones,Duracion,Historia,Tipo,Sueldo,Ahorro,Antiguedad,Porcentaje,EdoCivil,Aval,Residencia,Seguro,Edad,Adeudos,Vivienda,otraPension,tipoAfiliado,Dependientes,Ley,Foraneo
0,0,6,2,2,5133.40,0,0,57,1,1,20,0,68,0,0,1,3,0,1,0
1,1,30,0,0,3625.84,0,0,96,1,0,6,1,69,0,0,0,1,3,1,0
0,2,24,0,1,8700.72,0,0,71,0,0,9,0,68,1,0,1,4,3,0,1
1,0,2,0,1,3673.78,0,0,86,0,0,20,1,63,1,1,1,1,2,1,0
0,0,21,2,1,4018.40,0,1,87,1,1,6,0,60,1,1,1,4,1,1,1
1,0,27,2,0,5301.36,0,1,57,1,1,24,1,55,1,0,1,3,1,1,1
0,1,23,0,1,9662.83,0,0,85,1,1,6,1,69,1,0,1,1,1,0,0
0,1,25,2,1,10500.00,0,0,98,1,1,9,1,53,1,0,0,1,1,0,1
0,2,29,1,2,4086.27,1,1,51,1,0,5,1,51,0,0,1,1,3,0,1
0,1,27,0,0,5083.94,1,1,91,1,1,30,1,69,1,1,1,1,0,0,1
1,0,4,0,0,3673.78,0,1,73,1,0,25,1,54,1,1,0,0,0,1,0
1,1,24,2,1,5453.25,1,1,86,1,1,6,0,69,0,1,0,0,0,1,0
1,2,6,0,1,5609.64,1,1,78,0,0,9,1,61,1,1,1,0,3,0,1
1,2,27,0,1,8700.72,1,0,57,1,0,25,0,51,0,1,1,3,2,0,1
1,2,13,2,0,9108.30,1,0,59,1,0,10,0,60,1,1,0,4,1,1,0
0,2,3,2,2,3885.00,1,0,97,1,0,14,0,68,0,0,1,2,1,1,0
1,2,5,2,1,4181.06,1,0,99,1,0,8,0,57,1,1,0,1,0,1,0
0,2,16,2,0,3885.00,1,1,100,1,1,13,0,62,1,1,0,4,2,1,0
1,1,6,1,1,7882.79,1,0,73,1,1,13,1,49,0,0,1,3,2,0,1
0,1,16,0,2,4105.58,1,0,92,0,1,24,0,67,1,1,1,0,3,1,0
0,0,3,0,1,7220.00,0,1,57,0,1,28,0,68,1,1,0,3,3,1,1
1,0,18,0,0,7572.15,1,1,81,1,0,26,1,54,1,1,1,1,0,1,0
0,2,9,1,1,4456.16,0,0,63,1,1,29,0,53,1,0,1,3,2,0,1
0,1,3,2,2,3939.75,0,0,54,1,0,10,0,69,0,1,1,0,1,1,1
0,1,4,1,1,4719.57,0,1,68,0,0,13,1,66,0,1,1,1,2,1,1
0,1,1,2,0,3245.14,1,1,81,1,0,6,0,59,1,1,0,3,1,0,1
1,1,10,0,0,3740.58,1,1,50,1,0,10,0,50,0,1,1,4,1,0,1
0,0,3,2,1,3938.16,1,1,84,0,1,10,0,68,1,0,0,0,0,0,1
0,1,17,2,1,8929.72,1,1,54,1,1,25,1,50,1,0,1,1,2,0,0
1,1,25,1,2,17289.31,0,0,52,1,0,19,1,52,0,1,1,3,3,0,1
0,1,26,1,2,7638.13,0,0,60,2,1,19,1,65,0,0,0,4,3,0,1
1,2,27,0,2,4145.14,0,0,72,0,0,13,1,55,1,0,0,4,0,1,0
0,1,30,2,0,2882.04,0,0,90,0,1,14,0,66,0,1,1,0,3,0,0
1,0,11,1,1,5942.56,1,1,67,0,1,26,1,62,1,1,0,4,1,0,0
0,2,27,0,0,7009.42,0,0,51,1,1,22,1,61,1,1,0,4,0,0,1
0,1,22,2,0,5885.69,0,1,77,0,1,9,1,52,1,1,0,0,1,1,1
1,1,1,1,1,8700.72,1,0,83,0,1,28,1,56,0,1,0,0,1,0,1
1,1,16,1,2,4184.10,0,1,55,0,1,8,1,49,0,1,1,2,0,0,1
1,0,15,2,2,4626.93,0,1,60,1,1,9,0,67,1,1,1,0,0,0,0
1,1,8,1,0,7572.15,0,0,63,0,0,21,1,61,1,0,0,3,1,0,0
0,2,4,2,0,4456.16,1,1,93,1,1,18,0,62,1,0,0,4,0,1,1
0,2,3,0,2,3894.17,1,1,54,0,0,28,1,56,1,1,1,3,1,1,1
0,2,26,1,0,5195.97,1,0,71,1,1,8,1,60,1,1,1,0,2,1,0
1,0,11,1,1,6625.67,1,1,91,0,0,18,0,64,0,0,1,3,1,0,1
0,0,12,2,2,9720.19,0,0,76,0,1,18,1,54,1,0,1,2,0,0,1
1,2,24,2,2,2643.45,1,1,64,1,0,6,1,50,1,1,1,3,3,0,1
1,2,4,2,0,4040.03,1,0,50,1,1,17,1,61,1,0,1,3,1,0,0
0,2,6,1,1,5158.20,0,1,55,1,1,9,0,54,1,1,1,2,2,0,1
1,0,4,0,2,7097.65,1,0,52,1,1,10,0,50,0,0,1,3,0,1,0
0,1,24,2,0,15816.90,0,1,81,1,0,19,0,58,0,0,0,2,3,0,0
1,2,9,0,2,3915.46,0,1,97,0,1,10,0,64,1,0,0,0,1,1,0
1,1,24,0,0,9510.00,1,0,97,1,1,17,1,58,1,1,0,4,1,0,1
1,2,21,1,1,4780.17,0,1,50,1,0,19,0,60,1,0,1,4,2,0,1
0,2,2,1,0,5289.55,0,1,78,1,0,21,1,64,1,0,1,1,2,0,0
1,0,1,0,0,7572.15,0,1,88,1,0,23,1,51,0,0,1,1,3,1,0
1,2,13,0,0,21165.60,1,1,99,0,0,14,0,62,0,1,1,4,3,1,1
1,2,9,1,1,13552.35,0,1,96,1,0,27,1,63,1,0,0,0,2,1,1
1,0,4,2,0,8700.72,1,1,81,1,1,28,0,52,0,0,0,2,1,1,1
0,1,6,1,2,4047.81,1,0,98,1,0,8,0,51,0,0,1,4,3,0,0
1,0,8,0,1,6251.69,0,1,94,0,1,9,1,68,0,0,0,4,1,0,1
0,1,9,2,0,6406.50,1,1,64,0,0,19,1,64,0,0,0,0,3,0,1
1,1,9,2,1,3348.19,1,1,92,1,1,12,1,49,0,1,0,4,0,0,0
0,0,10,2,1,3393.38,0,0,65,1,0,15,1,67,1,0,1,4,1,1,1
0,1,18,1,0,4465.20,1,0,83,0,0,5,1,66,0,1,0,4,3,1,1
0,0,23,1,0,9547.08,0,1,70,1,1,13,0,50,1,0,1,4,2,0,1
0,0,14,0,1,4181.06,0,1,65,1,1,18,0,69,0,1,1,2,3,1,0
0,2,7,2,0,5609.64,0,0,62,0,1,29,0,49,0,0,1,3,3,1,0
1,1,30,2,0,2401.20,1,0,85,1,0,16,0,50,1,1,0,0,0,1,0
0,1,15,0,2,23903.22,0,0,78,1,0,9,0,62,1,1,1,4,3,1,0
0,1,22,2,0,13654.02,0,0,69,3,0,29,0,57,1,1,0,0,3,0,1
0,1,22,1,2,6251.69,1,1,56,2,0,17,0,49,0,0,0,2,0,0,1
1,2,20,1,1,7572.15,1,1,61,0,0,28,0,62,0,1,1,0,0,0,1
1,2,7,0,2,7572.15,0,0,62,1,0,28,0,51,1,0,0,1,2,0,0
1,2,15,1,2,8929.72,0,1,77,1,0,30,0,58,1,1,1,3,3,1,0
0,1,8,2,1,4059.66,1,0,68,1,1,16,1,59,1,0,0,2,1,1,0
0,1,27,0,2,7009.36,0,0,86,0,1,30,1,53,1,0,1,3,2,0,0
0,2,15,1,1,9999.00,0,0,72,1,1,14,0,61,0,0,1,2,0,1,0
0,1,5,1,0,5289.55,1,0,61,1,1,22,1,51,0,0,1,1,3,0,1
0,1,18,2,1,4324.58,1,1,74,1,0,18,1,52,1,1,1,4,1,1,1
1,2,15,2,2,4023.03,0,1,81,1,0,27,0,54,0,1,1,2,3,0,0
0,0,9,1,2,33062.72,0,0,73,1,0,28,1,55,1,1,1,1,0,0,1
1,2,4,1,0,4023.03,0,0,89,0,1,9,0,54,0,0,0,3,0,0,1
0,1,24,0,1,6706.40,0,1,67,1,1,27,1,63,0,0,1,2,1,1,0
0,2,14,2,2,3308.10,0,0,69,1,1,12,1,62,1,0,1,1,0,0,0
0,0,15,2,1,5289.55,0,0,68,0,0,14,1,69,1,1,0,3,0,0,1
1,2,15,0,1,2401.22,1,0,86,0,0,12,1,64,1,0,0,0,1,1,1
0,1,2,2,0,5289.55,1,0,73,1,1,13,0,69,1,0,0,2,0,1,0
1,1,18,0,0,4238.08,1,1,82,1,0,12,0,58,0,0,0,4,3,1,1
0,2,28,2,2,6168.78,1,0,92,1,1,6,1,58,0,0,0,3,3,1,0
0,1,21,1,0,5885.69,0,1,60,1,1,20,0,57,0,0,1,0,0,0,0
1,1,30,2,1,4145.14,1,0,53,1,0,11,0,67,0,0,0,1,1,1,0
0,2,25,0,0,4456.16,0,1,89,1,0,29,0,57,1,0,0,2,0,1,1
1,2,2,0,2,5301.57,1,0,62,1,0,21,0,52,0,0,1,3,2,0,0
0,0,28,2,1,4456.16,0,0,71,1,1,30,1,50,1,0,0,4,3,0,1
1,2,26,0,2,7572.15,1,1,74,1,0,27,0,60,0,0,1,2,2,0,0
1,1,17,1,1,9720.19,0,1,74,1,1,20,1,49,0,1,1,2,2,1,1
1,1,11,2,2,6168.78,0,0,80,0,0,9,1,57,0,0,1,4,3,0,1
1,1,23,2,2,9662.83,0,0,65,1,1,21,0,65,0,0,0,4,1,0,0
0,2,9,1,0,9662.83,0,1,72,1,0,15,0,56,1,1,1,0,2,1,1
1,0,12,2,2,5289.55,1,1,89,1,0,13,0,62,1,1,0,1,1,1,0
0,0,27,2,2,8619.92,1,0,65,1,1,19,1,62,1,0,0,3,3,1,1
1,2,8,1,0,7200.00,1,0,83,3,0,17,1,55,0,1,1,0,2,1,0
0,0,17,1,0,5083.94,0,1,64,0,1,26,0,58,0,1,1,3,1,1,1
0,2,18,1,0,9504.96,1,1,62,0,0,7,0,61,1,0,1,3,0,1,0
1,2,5,1,1,34698.00,1,1,86,1,0,20,0,61,0,1,0,3,1,0,0
0,2,12,0,1,4059.66,1,0,96,0,1,23,0,62,0,1,1,0,3,0,0
1,1,24,0,2,3461.84,0,1,54,0,1,23,0,67,1,1,0,3,3,1,0
0,1,5,0,0,7572.15,1,0,99,1,1,8,1,65,0,0,0,0,0,1,1
0,1,5,1,2,8929.72,0,1,64,1,1,25,1,52,0,0,0,1,1,0,1
0,2,3,2,2,17950.80,0,1,56,1,1,26,0,53,0,0,0,1,2,0,0
0,0,11,0,0,14473.00,1,0,85,1,1,19,1,63,1,0,0,2,0,0,0
1,2,30,0,1,9662.83,1,1,55,1,1,7,0,66,0,1,1,3,3,0,1
1,0,14,2,2,7345.00,1,0,56,0,0,20,1,52,0,0,0,4,2,1,0
